listing_id,date,available,price,adjusted_price,minimum_nights,maximum_nights
6369,2021-09-05,True,60.0,60.0,1.0,1125.0
6369,2021-09-06,True,60.0,60.0,1.0,1125.0
6369,2021-09-07,True,60.0,60.0,1.0,1125.0
6369,2021-09-08,True,60.0,60.0,1.0,1125.0
6369,2021-09-09,True,60.0,60.0,1.0,1125.0
6369,2021-09-10,True,60.0,60.0,1.0,1125.0
6369,2021-09-11,True,60.0,60.0,1.0,1125.0
6369,2021-09-12,True,60.0,60.0,1.0,1125.0
6369,2021-09-13,True,60.0,60.0,1.0,1125.0
6369,2021-09-14,True,60.0,60.0,1.0,1125.0
6369,2021-09-15,True,60.0,60.0,1.0,1125.0
6369,2021-09-16,True,60.0,60.0,1.0,1125.0
6369,2021-09-17,True,60.0,60.0,1.0,1125.0
6369,2021-09-18,True,60.0,60.0,1.0,1125.0
6369,2021-09-19,True,60.0,60.0,1.0,1125.0
6369,2021-09-20,True,60.0,60.0,1.0,1125.0
6369,2021-09-21,True,60.0,60.0,1.0,1125.0
6369,2021-09-22,True,60.0,60.0,1.0,1125.0
6369,2021-09-23,True,60.0,60.0,1.0,1125.0
6369,2021-09-24,True,60.0,60.0,1.0,1125.0
6369,2021-09-25,True,60.0,60.0,1.0,1125.0
6369,2021-09-26,True,60.0,60.0,1.0,1125.0
6369,2021-09-27,True,60.0,60.0,1.0,1125.0
6369,2021-09-28,True,60.0,60.0,1.0,1125.0
6369,2021-09-29,True,60.0,60.0,1.0,1125.0
6369,2021-09-30,True,60.0,60.0,1.0,1125.0
6369,2021-10-01,True,60.0,60.0,1.0,1125.0
6369,2021-10-02,True,60.0,60.0,1.0,1125.0
6369,2021-10-03,True,60.0,60.0,1.0,1125.0
6369,2021-10-04,True,60.0,60.0,1.0,1125.0
6369,2021-10-05,True,60.0,60.0,1.0,1125.0
6369,2021-10-06,True,60.0,60.0,1.0,1125.0
6369,2021-10-07,True,60.0,60.0,1.0,1125.0
6369,2021-10-08,True,60.0,60.0,1.0,1125.0
6369,2021-10-09,True,60.0,60.0,1.0,1125.0
6369,2021-10-10,True,60.0,60.0,1.0,1125.0
6369,2021-10-11,True,60.0,60.0,1.0,1125.0
6369,2021-10-12,False,60.0,60.0,1.0,1125.0
6369,2021-10-13,False,60.0,60.0,1.0,1125.0
6369,2021-10-14,False,60.0,60.0,1.0,1125.0
6369,2021-10-15,False,60.0,60.0,1.0,1125.0
6369,2021-10-16,False,60.0,60.0,1.0,1125.0
6369,2021-10-17,False,60.0,60.0,1.0,1125.0
6369,2021-10-18,False,60.0,60.0,1.0,1125.0
6369,2021-10-19,False,60.0,60.0,1.0,1125.0
6369,2021-10-20,False,60.0,60.0,1.0,1125.0
6369,2021-10-21,False,60.0,60.0,1.0,1125.0
6369,2021-10-22,False,60.0,60.0,1.0,1125.0
6369,2021-10-23,False,60.0,60.0,1.0,1125.0
6369,2021-10-24,False,60.0,60.0,1.0,1125.0
6369,2021-10-25,False,60.0,60.0,1.0,1125.0
6369,2021-10-26,False,60.0,60.0,1.0,1125.0
6369,2021-10-27,False,60.0,60.0,1.0,1125.0
6369,2021-10-28,False,60.0,60.0,1.0,1125.0
6369,2021-10-29,False,60.0,60.0,1.0,1125.0
6369,2021-10-30,False,60.0,60.0,1.0,1125.0
6369,2021-10-31,False,60.0,60.0,1.0,1125.0
6369,2021-11-01,False,60.0,60.0,1.0,1125.0
6369,2021-11-02,False,60.0,60.0,1.0,1125.0
6369,2021-11-03,False,60.0,60.0,1.0,1125.0
6369,2021-11-04,False,60.0,60.0,1.0,1125.0
6369,2021-11-05,False,60.0,60.0,1.0,1125.0
6369,2021-11-06,False,60.0,60.0,1.0,1125.0
6369,2021-11-07,False,60.0,60.0,1.0,1125.0
6369,2021-11-08,False,60.0,60.0,1.0,1125.0
6369,2021-11-09,False,60.0,60.0,1.0,1125.0
6369,2021-11-10,False,60.0,60.0,1.0,1125.0
6369,2021-11-11,False,60.0,60.0,1.0,1125.0
6369,2021-11-12,False,60.0,60.0,1.0,1125.0
6369,2021-11-13,False,60.0,60.0,1.0,1125.0
6369,2021-11-14,False,60.0,60.0,1.0,1125.0
6369,2021-11-15,False,60.0,60.0,1.0,1125.0
6369,2021-11-16,False,60.0,60.0,1.0,1125.0
6369,2021-11-17,False,60.0,60.0,1.0,1125.0
6369,2021-11-18,False,60.0,60.0,1.0,1125.0
6369,2021-11-19,False,60.0,60.0,1.0,1125.0
6369,2021-11-20,False,60.0,60.0,1.0,1125.0
6369,2021-11-21,False,60.0,60.0,1.0,1125.0
6369,2021-11-22,False,60.0,60.0,1.0,1125.0
6369,2021-11-23,False,60.0,60.0,1.0,1125.0
6369,2021-11-24,False,60.0,60.0,1.0,1125.0
6369,2021-11-25,False,60.0,60.0,1.0,1125.0
6369,2021-11-26,False,60.0,60.0,1.0,1125.0
6369,2021-11-27,False,60.0,60.0,1.0,1125.0
6369,2021-11-28,False,60.0,60.0,1.0,1125.0
6369,2021-11-29,False,60.0,60.0,1.0,1125.0
6369,2021-11-30,False,60.0,60.0,1.0,1125.0
6369,2021-12-01,False,60.0,60.0,1.0,1125.0
6369,2021-12-02,False,60.0,60.0,1.0,1125.0
6369,2021-12-03,False,60.0,60.0,1.0,1125.0
6369,2021-12-04,False,60.0,60.0,1.0,1125.0
6369,2021-12-05,False,60.0,60.0,1.0,1125.0
6369,2021-12-06,False,60.0,60.0,1.0,1125.0
6369,2021-12-07,False,60.0,60.0,1.0,1125.0
6369,2021-12-08,False,60.0,60.0,1.0,1125.0
6369,2021-12-09,False,60.0,60.0,1.0,1125.0
6369,2021-12-10,False,60.0,60.0,1.0,1125.0
6369,2021-12-11,False,60.0,60.0,1.0,1125.0
6369,2021-12-12,False,60.0,60.0,1.0,1125.0
6369,2021-12-13,False,60.0,60.0,1.0,1125.0
6369,2021-12-14,False,60.0,60.0,1.0,1125.0
6369,2021-12-15,False,60.0,60.0,1.0,1125.0
6369,2021-12-16,False,60.0,60.0,1.0,1125.0
6369,2021-12-17,False,60.0,60.0,1.0,1125.0
6369,2021-12-18,False,60.0,60.0,1.0,1125.0
6369,2021-12-19,False,60.0,60.0,1.0,1125.0
6369,2021-12-20,False,60.0,60.0,1.0,1125.0
6369,2021-12-21,False,60.0,60.0,1.0,1125.0
6369,2021-12-22,False,60.0,60.0,1.0,1125.0
6369,2021-12-23,False,60.0,60.0,1.0,1125.0
6369,2021-12-24,False,60.0,60.0,1.0,1125.0
6369,2021-12-25,False,60.0,60.0,1.0,1125.0
6369,2021-12-26,False,60.0,60.0,1.0,1125.0
6369,2021-12-27,False,60.0,60.0,1.0,1125.0
6369,2021-12-28,False,60.0,60.0,1.0,1125.0
6369,2021-12-29,False,60.0,60.0,1.0,1125.0
6369,2021-12-30,False,60.0,60.0,1.0,1125.0
6369,2021-12-31,False,60.0,60.0,1.0,1125.0
6369,2022-01-01,False,60.0,60.0,1.0,1125.0
6369,2022-01-02,False,60.0,60.0,1.0,1125.0
6369,2022-01-03,False,60.0,60.0,1.0,1125.0
6369,2022-01-04,False,60.0,60.0,1.0,1125.0
6369,2022-01-05,False,60.0,60.0,1.0,1125.0
6369,2022-01-06,False,60.0,60.0,1.0,1125.0
6369,2022-01-07,False,60.0,60.0,1.0,1125.0
6369,2022-01-08,False,60.0,60.0,1.0,1125.0
6369,2022-01-09,False,60.0,60.0,1.0,1125.0
6369,2022-01-10,False,60.0,60.0,1.0,1125.0
6369,2022-01-11,False,60.0,60.0,1.0,1125.0
6369,2022-01-12,False,60.0,60.0,1.0,1125.0
6369,2022-01-13,False,60.0,60.0,1.0,1125.0
6369,2022-01-14,False,60.0,60.0,1.0,1125.0
6369,2022-01-15,False,60.0,60.0,1.0,1125.0
6369,2022-01-16,False,60.0,60.0,1.0,1125.0
6369,2022-01-17,False,60.0,60.0,1.0,1125.0
6369,2022-01-18,False,60.0,60.0,1.0,1125.0
6369,2022-01-19,False,60.0,60.0,1.0,1125.0
6369,2022-01-20,False,60.0,60.0,1.0,1125.0
6369,2022-01-21,False,60.0,60.0,1.0,1125.0
6369,2022-01-22,False,60.0,60.0,1.0,1125.0
6369,2022-01-23,False,60.0,60.0,1.0,1125.0
6369,2022-01-24,False,60.0,60.0,1.0,1125.0
6369,2022-01-25,False,60.0,60.0,1.0,1125.0
6369,2022-01-26,False,60.0,60.0,1.0,1125.0
6369,2022-01-27,False,60.0,60.0,1.0,1125.0
6369,2022-01-28,False,60.0,60.0,1.0,1125.0
6369,2022-01-29,False,60.0,60.0,1.0,1125.0
6369,2022-01-30,False,60.0,60.0,1.0,1125.0
6369,2022-01-31,False,60.0,60.0,1.0,1125.0
6369,2022-02-01,False,60.0,60.0,1.0,1125.0
6369,2022-02-02,False,60.0,60.0,1.0,1125.0
6369,2022-02-03,False,60.0,60.0,1.0,1125.0
6369,2022-02-04,False,60.0,60.0,1.0,1125.0
6369,2022-02-05,False,60.0,60.0,1.0,1125.0
6369,2022-02-06,False,60.0,60.0,1.0,1125.0
6369,2022-02-07,False,60.0,60.0,1.0,1125.0
6369,2022-02-08,False,60.0,60.0,1.0,1125.0
6369,2022-02-09,False,60.0,60.0,1.0,1125.0
6369,2022-02-10,False,60.0,60.0,1.0,1125.0
6369,2022-02-11,False,60.0,60.0,1.0,1125.0
6369,2022-02-12,False,60.0,60.0,1.0,1125.0
6369,2022-02-13,False,60.0,60.0,1.0,1125.0
6369,2022-02-14,False,60.0,60.0,1.0,1125.0
6369,2022-02-15,False,60.0,60.0,1.0,1125.0
6369,2022-02-16,False,60.0,60.0,1.0,1125.0
6369,2022-02-17,False,60.0,60.0,1.0,1125.0
6369,2022-02-18,False,60.0,60.0,1.0,1125.0
6369,2022-02-19,False,60.0,60.0,1.0,1125.0
6369,2022-02-20,False,60.0,60.0,1.0,1125.0
6369,2022-02-21,False,60.0,60.0,1.0,1125.0
6369,2022-02-22,False,60.0,60.0,1.0,1125.0
6369,2022-02-23,False,60.0,60.0,1.0,1125.0
6369,2022-02-24,False,60.0,60.0,1.0,1125.0
6369,2022-02-25,False,60.0,60.0,1.0,1125.0
6369,2022-02-26,False,60.0,60.0,1.0,1125.0
6369,2022-02-27,False,60.0,60.0,1.0,1125.0
6369,2022-02-28,False,60.0,60.0,1.0,1125.0
6369,2022-03-01,False,60.0,60.0,1.0,1125.0
6369,2022-03-02,False,60.0,60.0,1.0,1125.0
6369,2022-03-03,False,60.0,60.0,1.0,1125.0
6369,2022-03-04,False,60.0,60.0,1.0,1125.0
6369,2022-03-05,False,60.0,60.0,1.0,1125.0
6369,2022-03-06,False,60.0,60.0,1.0,1125.0
6369,2022-03-07,False,60.0,60.0,1.0,1125.0
6369,2022-03-08,False,60.0,60.0,1.0,1125.0
6369,2022-03-09,False,60.0,60.0,1.0,1125.0
6369,2022-03-10,False,60.0,60.0,1.0,1125.0
6369,2022-03-11,False,60.0,60.0,1.0,1125.0
6369,2022-03-12,False,60.0,60.0,1.0,1125.0
6369,2022-03-13,False,60.0,60.0,1.0,1125.0
6369,2022-03-14,False,60.0,60.0,1.0,1125.0
6369,2022-03-15,False,60.0,60.0,1.0,1125.0
6369,2022-03-16,False,60.0,60.0,1.0,1125.0
6369,2022-03-17,False,60.0,60.0,1.0,1125.0
6369,2022-03-18,False,60.0,60.0,1.0,1125.0
6369,2022-03-19,False,60.0,60.0,1.0,1125.0
6369,2022-03-20,False,60.0,60.0,1.0,1125.0
6369,2022-03-21,False,60.0,60.0,1.0,1125.0
6369,2022-03-22,False,60.0,60.0,1.0,1125.0
6369,2022-03-23,False,60.0,60.0,1.0,1125.0
6369,2022-03-24,False,60.0,60.0,1.0,1125.0
6369,2022-03-25,False,60.0,60.0,1.0,1125.0
6369,2022-03-26,False,60.0,60.0,1.0,1125.0
6369,2022-03-27,False,60.0,60.0,1.0,1125.0
6369,2022-03-28,False,60.0,60.0,1.0,1125.0
6369,2022-03-29,False,60.0,60.0,1.0,1125.0
6369,2022-03-30,False,60.0,60.0,1.0,1125.0
6369,2022-03-31,False,60.0,60.0,1.0,1125.0
6369,2022-04-01,False,60.0,60.0,1.0,1125.0
6369,2022-04-02,False,60.0,60.0,1.0,1125.0
6369,2022-04-03,False,60.0,60.0,1.0,1125.0
6369,2022-04-04,False,60.0,60.0,1.0,1125.0
6369,2022-04-05,False,60.0,60.0,1.0,1125.0
6369,2022-04-06,False,60.0,60.0,1.0,1125.0
6369,2022-04-07,False,60.0,60.0,1.0,1125.0
6369,2022-04-08,False,60.0,60.0,1.0,1125.0
6369,2022-04-09,False,60.0,60.0,1.0,1125.0
6369,2022-04-10,False,60.0,60.0,1.0,1125.0
6369,2022-04-11,False,60.0,60.0,1.0,1125.0
6369,2022-04-12,False,60.0,60.0,1.0,1125.0
6369,2022-04-13,False,60.0,60.0,1.0,1125.0
6369,2022-04-14,False,60.0,60.0,1.0,1125.0
21853,2021-04-16,False,35.0,35.0,4.0,40.0
21853,2021-04-17,True,35.0,35.0,4.0,40.0
21853,2021-04-18,True,30.0,30.0,4.0,40.0
